TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,ct,Include a constant and linear time trend,23,The process contains a unit root.,1.0,0.7936659975436856
Adf,Precipitation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.996943507275059,0.5593568307822643
Adf,Radiation,c,Include a constant,0,The process contains a unit root.,7.112065577457217e-06,-5.244961295969502
Adf,Radiation,c,Include a constant,1,The process contains a unit root.,0.01935043156356383,-3.211111723044236
Adf,Radiation,c,Include a constant,2,The process contains a unit root.,0.22955400443086488,-2.1378905113969267
Adf,Radiation,c,Include a constant,3,The process contains a unit root.,0.590748025170844,-1.3822656870196064
Adf,Radiation,c,Include a constant,4,The process contains a unit root.,0.4767341081998386,-1.6123652432675692
Adf,Radiation,c,Include a constant,5,The process contains a unit root.,0.7005256630938641,-1.135947618388222
Adf,Radiation,c,Include a constant,6,The process contains a unit root.,0.8401165745951931,-0.7251894588047039
Adf,Radiation,c,Include a constant,7,The process contains a unit root.,0.7603685189829956,-0.9803361224798179
Adf,Radiation,c,Include a constant,8,The process contains a unit root.,0.8654882879632038,-0.6239058062464984
Adf,Radiation,c,Include a constant,9,The process contains a unit root.,0.8706665157548388,-0.6013949408476353
Adf,Radiation,c,Include a constant,10,The process contains a unit root.,0.9297739480416319,-0.26905659184531194
Adf,Radiation,c,Include a constant,11,The process contains a unit root.,0.9543691420412923,-0.048096544791675744
Adf,Radiation,c,Include a constant,12,The process contains a unit root.,0.9717631352436343,0.19119032972028127
Adf,Radiation,c,Include a constant,13,The process contains a unit root.,0.9831620818751875,0.44676679034545547
Adf,Radiation,c,Include a constant,14,The process contains a unit root.,0.9913317894703242,0.7815114231861382
Adf,Radiation,c,Include a constant,15,The process contains a unit root.,0.9974707569391257,1.485710579928247
Adf,Radiation,c,Include a constant,16,The process contains a unit root.,0.9961958591718854,1.2314080526126283
Adf,Radiation,c,Include a constant,17,The process contains a unit root.,0.9946606169026723,1.0389743501972541
Adf,Radiation,c,Include a constant,18,The process contains a unit root.,0.9975817209830888,1.5158243291395121
Adf,Radiation,c,Include a constant,19,The process contains a unit root.,0.9964379229810985,1.2703954265522552
Adf,Radiation,c,Include a constant,20,The process contains a unit root.,0.9975372322381698,1.5035241003745223
Adf,Radiation,c,Include a constant,21,The process contains a unit root.,0.998114783407863,1.6943636069470047
Adf,Radiation,c,Include a constant,22,The process contains a unit root.,0.9975295483160915,1.501431060902763
Adf,Radiation,c,Include a constant,23,The process contains a unit root.,0.9935084707960209,0.9331849393710508
Adf,Radiation,c,Include a constant,24,The process contains a unit root.,0.9894428390742517,0.6806090797782122
Adf,Radiation,nc,No trend components,0,The process contains a unit root.,0.6968908822465062,0.03835119488759916
Adf,Radiation,nc,No trend components,1,The process contains a unit root.,0.8167300025348554,0.46504749545187946
Adf,Radiation,nc,No trend components,2,The process contains a unit root.,0.8726270537192946,0.7307513384987055
Adf,Radiation,nc,No trend components,3,The process contains a unit root.,0.8866855707400021,0.8099149981884826
Adf,Radiation,nc,No trend components,4,The process contains a unit root.,0.8954945560588874,0.8630750132984338
Adf,Radiation,nc,No trend components,5,The process contains a unit root.,0.9471313107101628,1.2644786367213634
Adf,Radiation,nc,No trend components,6,The process contains a unit root.,0.9654794545012286,1.4799155930870034
Adf,Radiation,nc,No trend components,7,The process contains a unit root.,0.9700402714083697,1.5464140816175793
Adf,Radiation,nc,No trend components,8,The process contains a unit root.,0.9630623359741497,1.4472967811092763
Adf,Radiation,nc,No trend components,9,The process contains a unit root.,0.9520071100602161,1.315539722960821
Adf,Radiation,nc,No trend components,10,The process contains a unit root.,0.950236752758502,1.2965795370947648
Adf,Radiation,nc,No trend components,11,The process contains a unit root.,0.9571605765548492,1.373821607594669
Adf,Radiation,nc,No trend components,12,The process contains a unit root.,0.9684266615008964,1.522073582309711
Adf,Radiation,nc,No trend components,13,The process contains a unit root.,0.9799121101273929,1.7218821708423104
Adf,Radiation,nc,No trend components,14,The process contains a unit root.,0.9866081121067802,1.883657286509556
Adf,Radiation,nc,No trend components,15,The process contains a unit root.,0.9853356909189085,1.8487360063364675
Adf,Radiation,nc,No trend components,16,The process contains a unit root.,0.9767736736519624,1.6601243735880276
Adf,Radiation,nc,No trend components,17,The process contains a unit root.,0.9619186289956244,1.4324124035176444
Adf,Radiation,nc,No trend components,18,The process contains a unit root.,0.9933531033788955,2.1312295255495033
Adf,Radiation,nc,No trend components,19,The process contains a unit root.,0.9849212871377903,1.8378701279899812
Adf,Radiation,nc,No trend components,20,The process contains a unit root.,0.9867612168938558,1.888030629464298
Adf,Radiation,nc,No trend components,21,The process contains a unit root.,0.92651735059491,1.0802238293264252
Adf,Radiation,nc,No trend components,22,The process contains a unit root.,0.8919918104799112,0.8415746165556014
Adf,Radiation,nc,No trend components,23,The process contains a unit root.,0.8715481606226647,0.7249316063772531
Adf,Radiation,nc,No trend components,24,The process contains a unit root.,0.919916829406296,1.0292142744569095
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,1.3345259905035665e-09,-7.752039662307826
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,6.490548039028646e-05,-5.650800726039487
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.008410921923735017,-4.424787034440501
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.0815376151711083,-3.6398314262791045
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.01124203680773366,-4.336935183748834
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.12579041305853217,-3.451106660874942
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.3654600450861861,-2.8608105726088935
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.1165746433932624,-3.485699413837908
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.16970083294934857,-3.307546647606928
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.04352085460678008,-3.8842244855096153
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.04891157085290557,-3.8408666013390045
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.0422261556431076,-3.895300875783976
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.06181948365311268,-3.7511788765493512
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.10008925584241057,-3.5530362281289345
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.24731445353125903,-3.1057503861396984
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.5567605454930595,-2.521976422554906
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.5437139000099871,-2.5446504326369053
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.3443071368620657,-2.901201720998925
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.8479720852967648,-1.9131495685395348
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.8299475236424707,-1.9646187837353135
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.9489317070947585,-1.4755756734862069
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.9651601686828769,-1.3385910746322256
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.9648907471371622,-1.3413017027888932
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.9255124014168031,-1.6171661388047693
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.9390060887136154,-1.5412557293809253
Adf,Radiation,ct,Include a constant and linear time trend,0,The process contains a unit root.,4.692037304079502e-10,-7.646227131158723
Adf,Radiation,ct,Include a constant and linear time trend,1,The process contains a unit root.,2.3932199335574984e-05,-5.491699490182008
Adf,Radiation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.004135410746358094,-4.222747308095042
Adf,Radiation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.0421227866566566,-3.4751904238355786
Adf,Radiation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.007725635854280281,-4.039329633502573
Adf,Radiation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.130496964072926,-3.0056906241178027
Adf,Radiation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.4044921551798587,-2.3537235297731036
Adf,Radiation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.2913537183243913,-2.575380007685398
Adf,Radiation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.4272409499539684,-2.312150849081283
Adf,Radiation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.32313518341981023,-2.5096890310701654
Adf,Radiation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.41261065939626673,-2.338815134490907
Adf,Radiation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.5320912229121505,-2.124965408681763
Adf,Radiation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.7007966964193966,-1.808188241542661
Adf,Radiation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.8433657177490801,-1.4570943551126352
Adf,Radiation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.9032114096674506,-1.2344095232617163
Adf,Radiation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.6285478614708653,-1.9496920558206574
Adf,Radiation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.7409465247884071,-1.7223438637722843
Adf,Radiation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.6181852643266981,-1.969053272045376
Adf,Radiation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.9567937095547328,-0.8939975084468588
Adf,Radiation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.9642057186286946,-0.8171654614966699
Adf,Radiation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.9753746977930252,-0.6645801358661685
Adf,Radiation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.8358904909716032,-1.4799676464109248
Adf,Radiation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.4595833383641001,-2.2539249810843316
Adf,Radiation,ct,Include a constant and linear time trend,23,The process contains a unit root.,0.23928300493257526,-2.692325226571847
Adf,Radiation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.5994933393644796,-2.0035596053047144
Adf,Temperature,c,Include a constant,0,The process contains a unit root.,0.004295538866460052,-3.68728907869993
Adf,Temperature,c,Include a constant,1,The process contains a unit root.,0.07077912344248695,-2.7191714184406557
Adf,Temperature,c,Include a constant,2,The process contains a unit root.,0.13834590388585094,-2.4121160491995752
Adf,Temperature,c,Include a constant,3,The process contains a unit root.,0.21502678370245532,-2.1761189247004262
Adf,Temperature,c,Include a constant,4,The process contains a unit root.,0.5769103702328653,-1.411168233782044
Adf,Temperature,c,Include a constant,5,The process contains a unit root.,0.8017687964378617,-0.8571091378942066
Adf,Temperature,c,Include a constant,6,The process contains a unit root.,0.8894890405708343,-0.5128267651515781
Adf,Temperature,c,Include a constant,7,The process contains a unit root.,0.8914842537302625,-0.5027218330353315
Adf,Temperature,c,Include a constant,8,The process contains a unit root.,0.9292002084326724,-0.2733106409080042
Adf,Temperature,c,Include a constant,9,The process contains a unit root.,0.9247181578170839,-0.30552511073342115
Adf,Temperature,c,Include a constant,10,The process contains a unit root.,0.9527882377541539,-0.06528643835247216
Adf,Temperature,c,Include a constant,11,The process contains a unit root.,0.9431419033805651,-0.15984394690475148
Adf,Temperature,c,Include a constant,12,The process contains a unit root.,0.9360758284118814,-0.22015771866051304
Adf,Temperature,c,Include a constant,13,The process contains a unit root.,0.9612564940341952,0.034017258079923826
Adf,Temperature,c,Include a constant,14,The process contains a unit root.,0.9697550302912644,0.157179484724859
Adf,Temperature,c,Include a constant,15,The process contains a unit root.,0.9782479556338801,0.32009671548674995
Adf,Temperature,c,Include a constant,16,The process contains a unit root.,0.9894954173874339,0.6831445530528345
Adf,Temperature,c,Include a constant,17,The process contains a unit root.,0.970559948059941,0.17053885678979752
Adf,Temperature,c,Include a constant,18,The process contains a unit root.,0.9728191146624465,0.21003993455333672
Adf,Temperature,c,Include a constant,19,The process contains a unit root.,0.957749641807131,-0.009377817466697096
