TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Radiation,nc,No trend components,24,The process contains a unit root.,0.8674986568981753,0.7033843899185013
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,7.939869080222521e-10,-7.845328640508857
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.0017150147689383797,-4.867808610183367
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.003264879411445443,-4.695269157766811
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.011470655804520901,-4.330740019036251
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.24840658803747667,-3.1032010762085758
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.31653882197046246,-2.956066340676642
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.12161653669295919,-3.4665343384117597
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.14441107367117378,-3.3864829360718485
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.3058586137117738,-2.9778274077840656
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.20940538580433377,-3.199388624897046
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.2964722098936601,-2.9972979903807486
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.6122539571363366,-2.4242508130430043
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.3908476795343407,-2.8136200418645307
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.2588727739381238,-3.0791294124265263
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.31525346910003743,-2.958664261794485
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.91754130836149,-1.6567292071515005
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.9570239995039209,-1.4131145967090188
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.9381585635855686,-1.5464246982692478
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.9744602159896474,-1.2305907493531796
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.9887376424554711,-0.9521690941819957
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.9968253801851622,-0.5054239703383228
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.9917206880969651,-0.8474060388171428
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.9252434639328606,-1.6185569869825003
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.9771155527414576,-1.1928923227151775
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.8709847116402656,-1.8406625086408361
Adf,Radiation,ct,Include a constant and linear time trend,0,The process contains a unit root.,1.6713524196692636e-10,-7.840358163453849
Adf,Radiation,ct,Include a constant and linear time trend,1,The process contains a unit root.,0.00044123174235670583,-4.814797979726757
Adf,Radiation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.0010508334568497927,-4.595071354920277
Adf,Radiation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.004931703188522357,-4.172068203920781
Adf,Radiation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.16800628057473876,-2.8833760529316517
Adf,Radiation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.24757226387459202,-2.6727454145800866
Adf,Radiation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.1600968804141869,-2.906580429495111
Adf,Radiation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.24494105309631847,-2.6789152170453505
Adf,Radiation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.33560085432820286,-2.484804136812669
Adf,Radiation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.27505323989832786,-2.6105656370544152
Adf,Radiation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.44512559411134794,-2.279850416024556
Adf,Radiation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.7706943027469391,-1.6537249743432807
Adf,Radiation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.730193969285991,-1.74600445881943
Adf,Radiation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.7212550905596853,-1.7652781178284145
Adf,Radiation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.7122477985267808,-1.7843655429919076
Adf,Radiation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.7141678602850774,-1.7803235047572785
Adf,Radiation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.8575745632128002,-1.4112669327128795
Adf,Radiation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.4270746150260078,-2.312452676205155
Adf,Radiation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.6471087248516474,-1.9145261897816968
Adf,Radiation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.6417222307385936,-1.9248011610130593
Adf,Radiation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.9071451124973248,-1.2161305476492659
Adf,Radiation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.8153257100723832,-1.5392233447884291
Adf,Radiation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.3339846471562278,-2.48800586179882
Adf,Radiation,ct,Include a constant and linear time trend,23,The process contains a unit root.,0.006335065174268308,-4.0986757093451525
Adf,Radiation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.02881267178805719,-3.612411478217767
Adf,Temperature,c,Include a constant,0,The process contains a unit root.,0.0005034895380683566,-4.268474914752799
Adf,Temperature,c,Include a constant,1,The process contains a unit root.,0.03975438341424392,-2.9507729496565007
Adf,Temperature,c,Include a constant,2,The process contains a unit root.,0.09275939148407442,-2.6011520710641802
Adf,Temperature,c,Include a constant,3,The process contains a unit root.,0.04929706037532405,-2.8672019489278955
Adf,Temperature,c,Include a constant,4,The process contains a unit root.,0.17685607432375122,-2.28498582470659
Adf,Temperature,c,Include a constant,5,The process contains a unit root.,0.501400734457694,-1.5644937307123234
Adf,Temperature,c,Include a constant,6,The process contains a unit root.,0.6972958105315626,-1.143792798068074
Adf,Temperature,c,Include a constant,7,The process contains a unit root.,0.7299708233048496,-1.0620383447877417
Adf,Temperature,c,Include a constant,8,The process contains a unit root.,0.7070877063896372,-1.1198590930998742
Adf,Temperature,c,Include a constant,9,The process contains a unit root.,0.5897259790626639,-1.3844119770296623
Adf,Temperature,c,Include a constant,10,The process contains a unit root.,0.8309808390662677,-0.758602895939762
Adf,Temperature,c,Include a constant,11,The process contains a unit root.,0.8576632228334788,-0.6566408896213224
Adf,Temperature,c,Include a constant,12,The process contains a unit root.,0.8687923859367287,-0.6096246494861018
Adf,Temperature,c,Include a constant,13,The process contains a unit root.,0.9674809443019654,0.12122871917781784
Adf,Temperature,c,Include a constant,14,The process contains a unit root.,0.9811697402759127,0.3913808650664099
Adf,Temperature,c,Include a constant,15,The process contains a unit root.,0.978546300640798,0.32691761749560194
Adf,Temperature,c,Include a constant,16,The process contains a unit root.,0.9835786289246052,0.4591944462189403
Adf,Temperature,c,Include a constant,17,The process contains a unit root.,0.9737186240746679,0.22667453045421757
Adf,Temperature,c,Include a constant,18,The process contains a unit root.,0.9713548628632369,0.18408764173126232
Adf,Temperature,c,Include a constant,19,The process contains a unit root.,0.9563211079276975,-0.026083452153000633
Adf,Temperature,c,Include a constant,20,The process contains a unit root.,0.9127386293116102,-0.3839846051867721
Adf,Temperature,c,Include a constant,21,The process contains a unit root.,0.9239721885429947,-0.31072061547925306
Adf,Temperature,c,Include a constant,22,The process contains a unit root.,0.9420161059018372,-0.1698958922757929
Adf,Temperature,c,Include a constant,23,The process contains a unit root.,0.9296513659140265,-0.26996809064966903
Adf,Temperature,c,Include a constant,24,The process contains a unit root.,0.9090997304716499,-0.40595510148080416
Adf,Temperature,nc,No trend components,0,The process contains a unit root.,0.44274449697260276,-0.6283614331210297
Adf,Temperature,nc,No trend components,1,The process contains a unit root.,0.650944946192261,-0.0974084923196827
Adf,Temperature,nc,No trend components,2,The process contains a unit root.,0.7165288652386241,0.09996791053572876
Adf,Temperature,nc,No trend components,3,The process contains a unit root.,0.6827600152305658,-0.004561683213232282
Adf,Temperature,nc,No trend components,4,The process contains a unit root.,0.7609912331718351,0.24973524963981186
Adf,Temperature,nc,No trend components,5,The process contains a unit root.,0.894433807881841,0.8565113314444754
Adf,Temperature,nc,No trend components,6,The process contains a unit root.,0.9012880127558416,0.8997745053891409
Adf,Temperature,nc,No trend components,7,The process contains a unit root.,0.9169492920820687,1.0072557831451556
Adf,Temperature,nc,No trend components,8,The process contains a unit root.,0.9273400790362206,1.086808921485643
Adf,Temperature,nc,No trend components,9,The process contains a unit root.,0.9412464245338665,1.207231843402444
Adf,Temperature,nc,No trend components,10,The process contains a unit root.,0.9364876017991166,1.163908914997784
Adf,Temperature,nc,No trend components,11,The process contains a unit root.,0.9249966479566418,1.068189888304627
Adf,Temperature,nc,No trend components,12,The process contains a unit root.,0.925848829048249,1.074911791452356
Adf,Temperature,nc,No trend components,13,The process contains a unit root.,0.971559833420598,1.5702507710491238
Adf,Temperature,nc,No trend components,14,The process contains a unit root.,0.9830834800695876,1.7922888120282456
Adf,Temperature,nc,No trend components,15,The process contains a unit root.,0.9913963369734503,2.0442654729360417
Adf,Temperature,nc,No trend components,16,The process contains a unit root.,0.9927468775929633,2.1023266504357867
Adf,Temperature,nc,No trend components,17,The process contains a unit root.,0.9826756165578785,1.7826945400440246
Adf,Temperature,nc,No trend components,18,The process contains a unit root.,0.9948059834445836,2.2102309563221105
Adf,Temperature,nc,No trend components,19,The process contains a unit root.,0.9868300093424736,1.8900084464009244
Adf,Temperature,nc,No trend components,20,The process contains a unit root.,0.9850827960069715,1.8420771857822367
Adf,Temperature,nc,No trend components,21,The process contains a unit root.,0.952547271906294,1.3214265384171997
Adf,Temperature,nc,No trend components,22,The process contains a unit root.,0.9394077294325716,1.1902021362924222
Adf,Temperature,nc,No trend components,23,The process contains a unit root.,0.8938430758617841,0.8528760396133055
Adf,Temperature,nc,No trend components,24,The process contains a unit root.,0.9513533075821222,1.3084789569486415
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,8.172898990064756e-06,-6.093472768389116
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.01006058519343804,-4.3708671960805585
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.030244024955640377,-4.014262114870261
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.0004045977696950061,-5.229485574109997
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.0031248064430062857,-4.707286533780775
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.16453742443798258,-3.3229678609520628
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.29907567122453593,-2.9918634890161675
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.3787188170289831,-2.836007877131291
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.3527705069595578,-2.8849103448405446
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.12727044343453914,-3.445726138838682
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.3522032304904514,-2.8859966471880125
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.20713184264260354,-3.205368941774258
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.11133784245702288,-3.506268246808916
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.5988176462288144,-2.448173520931287
