TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Radiation,c,Include a constant,15,The process contains a unit root.,0.953777202708471,-0.05459739031450364
Adf,Radiation,c,Include a constant,16,The process contains a unit root.,0.9732574817970862,0.2180776556026925
Adf,Radiation,c,Include a constant,17,The process contains a unit root.,0.9677331033491797,0.12509249966176822
Adf,Radiation,c,Include a constant,18,The process contains a unit root.,0.9528900793650881,-0.06419543062680551
Adf,Radiation,c,Include a constant,19,The process contains a unit root.,0.9806791496669298,0.37866071764892323
Adf,Radiation,c,Include a constant,20,The process contains a unit root.,0.9881627248517785,0.6227315366602003
Adf,Radiation,c,Include a constant,21,The process contains a unit root.,0.9841502911805846,0.4767893954043454
Adf,Radiation,c,Include a constant,22,The process contains a unit root.,0.9784834053379035,0.32547177436672176
Adf,Radiation,c,Include a constant,23,The process contains a unit root.,0.9645904483881977,0.07889757887641224
Adf,Radiation,c,Include a constant,24,The process contains a unit root.,0.9728299786667369,0.21023758352565783
Adf,Radiation,nc,No trend components,0,The process contains a unit root.,0.7305599108212701,0.1455672371739279
Adf,Radiation,nc,No trend components,1,The process contains a unit root.,0.7399489754633981,0.17689230366105577
Adf,Radiation,nc,No trend components,2,The process contains a unit root.,0.7853345266559821,0.33926010039417237
Adf,Radiation,nc,No trend components,3,The process contains a unit root.,0.7867711114140641,0.344742892070542
Adf,Radiation,nc,No trend components,4,The process contains a unit root.,0.7741624166955792,0.2974080936477539
Adf,Radiation,nc,No trend components,5,The process contains a unit root.,0.7833505156924339,0.33172693228302635
Adf,Radiation,nc,No trend components,6,The process contains a unit root.,0.8245211794375067,0.49844188741985285
Adf,Radiation,nc,No trend components,7,The process contains a unit root.,0.8236622290559528,0.4947123208783755
Adf,Radiation,nc,No trend components,8,The process contains a unit root.,0.8311222836362239,0.527520453562529
Adf,Radiation,nc,No trend components,9,The process contains a unit root.,0.8107637701141799,0.44010848624148613
Adf,Radiation,nc,No trend components,10,The process contains a unit root.,0.8485497929280166,0.6081667586503386
Adf,Radiation,nc,No trend components,11,The process contains a unit root.,0.8375849155553298,0.5567391338913148
Adf,Radiation,nc,No trend components,12,The process contains a unit root.,0.8466781496986252,0.59921342217893
Adf,Radiation,nc,No trend components,13,The process contains a unit root.,0.8958428878457891,0.8652406070076976
Adf,Radiation,nc,No trend components,14,The process contains a unit root.,0.9215394405212959,1.0414670844267933
Adf,Radiation,nc,No trend components,15,The process contains a unit root.,0.9405398702298065,1.2006427953797325
Adf,Radiation,nc,No trend components,16,The process contains a unit root.,0.9372694258122809,1.1708614549328393
Adf,Radiation,nc,No trend components,17,The process contains a unit root.,0.9400650655705366,1.1962467502457266
Adf,Radiation,nc,No trend components,18,The process contains a unit root.,0.9181894328796463,1.0163631961292519
Adf,Radiation,nc,No trend components,19,The process contains a unit root.,0.8863288959008269,0.8078243661895677
Adf,Radiation,nc,No trend components,20,The process contains a unit root.,0.8956121347635047,0.8638054380658862
Adf,Radiation,nc,No trend components,21,The process contains a unit root.,0.8697514034954106,0.7153141157435953
Adf,Radiation,nc,No trend components,22,The process contains a unit root.,0.8585419930117473,0.6572889221130493
Adf,Radiation,nc,No trend components,23,The process contains a unit root.,0.8220880490322731,0.4879086263452299
Adf,Radiation,nc,No trend components,24,The process contains a unit root.,0.8185666160207697,0.4728329821623125
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,2.874216304042462e-06,-6.3065644302935535
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.00280121299432964,-4.7370689412980935
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.02109009208108317,-4.136467609340455
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.07304466490813752,-3.684821782153266
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.2022584619333483,-3.2168754461136206
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.17253720238569625,-3.2992105931880906
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.23317518426098133,-3.139447316138578
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.33438040699766736,-2.920553096937587
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.34767278905498744,-2.894701102062451
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.6059771310139866,-2.4354524176822174
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.751597775012042,-2.154161282443213
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.7726872892989913,-2.107266388068173
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.9035940349237904,-1.7189859223606034
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.8317112146640835,-1.9597546513362925
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.9385464443323155,-1.544066651375223
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.8202089883965673,-1.9908778188719263
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.8977153840313329,-1.743072908376174
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.7732405026289362,-2.1060029353205727
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.5093099248807165,-2.6042510863663493
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.9073455448033858,-1.7029957564158378
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.9097475961159072,-1.6924822061304576
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.8776075248227804,-1.81804101035832
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.6629641616314743,-2.3315841212446973
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.6999961455162529,-2.2605253678061934
Adf,Radiation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.4048371603844892,-2.788112847979288
Adf,Radiation,ct,Include a constant and linear time trend,0,The process contains a unit root.,0.00016953038309741846,-5.045971387216396
Adf,Radiation,ct,Include a constant and linear time trend,1,The process contains a unit root.,0.027097206443801997,-3.633884714320824
Adf,Radiation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.18706692773939632,-2.827388413472047
Adf,Radiation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.3693846028174733,-2.419347529012178
Adf,Radiation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.5029405295483871,-2.1767545853305283
Adf,Radiation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.4987101735940334,-2.184264978449103
Adf,Radiation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.70128394295181,-1.8071841102486927
Adf,Radiation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.7723206247128711,-1.6498210146456218
Adf,Radiation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.8043027401304297,-1.569089984098276
Adf,Radiation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.8348332248552934,-1.4831406205440663
Adf,Radiation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.9271086961729033,-1.1115701448568955
Adf,Radiation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.9037910519220796,-1.2317559711208554
Adf,Radiation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.9442310605199337,-0.9991347450048806
Adf,Radiation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.9613672526450272,-0.8482789115767908
Adf,Radiation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.9890775167309397,-0.3186471156673958
Adf,Radiation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.9872482796822434,-0.3875165249397845
Adf,Radiation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.9936375622300118,-0.05450487959042799
Adf,Radiation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.9942463044846028,0.0013003524851307423
Adf,Radiation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.9930431898537331,-0.10177190370105184
Adf,Radiation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.9964780550772524,0.355993006356385
Adf,Radiation,ct,Include a constant and linear time trend,20,The process contains a unit root.,1.0,0.9144118286065669
Adf,Radiation,ct,Include a constant and linear time trend,21,The process contains a unit root.,1.0,1.0108600588294518
Adf,Radiation,ct,Include a constant and linear time trend,22,The process contains a unit root.,1.0,0.8336888271585786
Adf,Radiation,ct,Include a constant and linear time trend,23,The process contains a unit root.,1.0,0.706559340545384
Adf,Radiation,ct,Include a constant and linear time trend,24,The process contains a unit root.,1.0,0.8468864434290759
Adf,Temperature,c,Include a constant,0,The process contains a unit root.,0.108767246157088,-2.5281810862248624
Adf,Temperature,c,Include a constant,1,The process contains a unit root.,0.43044311919003186,-1.7012993851826865
Adf,Temperature,c,Include a constant,2,The process contains a unit root.,0.781216292874984,-0.9202927511100315
Adf,Temperature,c,Include a constant,3,The process contains a unit root.,0.8875485141529735,-0.5225097526715038
Adf,Temperature,c,Include a constant,4,The process contains a unit root.,0.9498424431708111,-0.09592971874622043
Adf,Temperature,c,Include a constant,5,The process contains a unit root.,0.9849536032595769,0.5026561041428489
Adf,Temperature,c,Include a constant,6,The process contains a unit root.,0.9802773221566002,0.368484060311707
Adf,Temperature,c,Include a constant,7,The process contains a unit root.,0.9760080698939714,0.27169759284339057
Adf,Temperature,c,Include a constant,8,The process contains a unit root.,0.9803330249437818,0.36988216303973254
Adf,Temperature,c,Include a constant,9,The process contains a unit root.,0.9848255444196787,0.4984380409202589
Adf,Temperature,c,Include a constant,10,The process contains a unit root.,0.9778943686804472,0.3121335439382224
Adf,Temperature,c,Include a constant,11,The process contains a unit root.,0.981699207963827,0.4054931717019739
Adf,Temperature,c,Include a constant,12,The process contains a unit root.,0.9887816525306165,0.6498334431890707
Adf,Temperature,c,Include a constant,13,The process contains a unit root.,0.9854955955816038,0.5209314425692032
Adf,Temperature,c,Include a constant,14,The process contains a unit root.,0.9879160374339201,0.6123468737963652
Adf,Temperature,c,Include a constant,15,The process contains a unit root.,0.9811228457378917,0.390150490814436
Adf,Temperature,c,Include a constant,16,The process contains a unit root.,0.9907683871065439,0.7490940563001112
Adf,Temperature,c,Include a constant,17,The process contains a unit root.,0.9841785011107979,0.47767454442000395
Adf,Temperature,c,Include a constant,18,The process contains a unit root.,0.9768167843234205,0.2886300545122971
Adf,Temperature,c,Include a constant,19,The process contains a unit root.,0.9857036092312182,0.5281349628917308
Adf,Temperature,c,Include a constant,20,The process contains a unit root.,0.971873532083053,0.1931282151023334
Adf,Temperature,c,Include a constant,21,The process contains a unit root.,0.9866571565244772,0.5626218906075001
Adf,Temperature,c,Include a constant,22,The process contains a unit root.,0.9886905429790604,0.6457452878358646
Adf,Temperature,c,Include a constant,23,The process contains a unit root.,0.9885621773794452,0.6400446477456213
Adf,Temperature,c,Include a constant,24,The process contains a unit root.,0.9915600321983569,0.7953068095421617
Adf,Temperature,nc,No trend components,0,The process contains a unit root.,0.8251259152194778,0.5010749855594098
Adf,Temperature,nc,No trend components,1,The process contains a unit root.,0.8462490622116927,0.5971712924336905
Adf,Temperature,nc,No trend components,2,The process contains a unit root.,0.9076465316158981,0.9418439125952801
Adf,Temperature,nc,No trend components,3,The process contains a unit root.,0.9395344628097937,1.191363822229229
Adf,Temperature,nc,No trend components,4,The process contains a unit root.,0.9619075245032894,1.4322695212152914
Adf,Temperature,nc,No trend components,5,The process contains a unit root.,0.9780496079724404,1.684417034388882
Adf,Temperature,nc,No trend components,6,The process contains a unit root.,0.9861657716493862,1.8712365142484406
Adf,Temperature,nc,No trend components,7,The process contains a unit root.,0.9911831384675011,2.0357723438504065
Adf,Temperature,nc,No trend components,8,The process contains a unit root.,0.9793892659152147,1.711106613829298
Adf,Temperature,nc,No trend components,9,The process contains a unit root.,0.9695005959991724,1.538166505265894
Adf,Temperature,nc,No trend components,10,The process contains a unit root.,0.9729822178958607,1.5934458323669125
Adf,Temperature,nc,No trend components,11,The process contains a unit root.,0.9718567701524067,1.575019751933802
Adf,Temperature,nc,No trend components,12,The process contains a unit root.,0.9753668524319034,1.6344850740022392
Adf,Temperature,nc,No trend components,13,The process contains a unit root.,0.9784986117277217,1.693220814494769
Adf,Temperature,nc,No trend components,14,The process contains a unit root.,0.9929433945276269,2.1114777143983834
Adf,Temperature,nc,No trend components,15,The process contains a unit root.,0.9978976149183411,2.4704532866597346
Adf,Temperature,nc,No trend components,16,The process contains a unit root.,0.9886647013195032,1.945993328091079
Adf,Temperature,nc,No trend components,17,The process contains a unit root.,0.9832079002981694,1.7952509490593695
Adf,Temperature,nc,No trend components,18,The process contains a unit root.,0.9496038352707306,1.2899208111508793
Adf,Temperature,nc,No trend components,19,The process contains a unit root.,0.9748882396896885,1.626015009117905
